gid,light,dem,ndvi,road_dis,poi_dis,poi
9700,0,0,0.0,17879,54026.73274494193,0.0
9701,0,0,0.0,18344,54969.359988919045,0.0
9702,0,0,0.0,18810,55915.80848311841,0.0
9703,0,0,0.0,19278,56865.94302693979,0.0
9704,0,0,0.0,19748,57819.63398686692,0.0
9705,0,0,0.0,20219,58776.7570140724,0.0
9706,0,0,0.0,20691,59737.19278614532,0.0
9707,0,0,0.0,21165,60700.826769227555,0.0
9708,0,0,0.0,21640,61667.548997544334,0.0
9709,0,0,0.0,22116,62637.2538678844,0.0
9710,0,0,0.0,22593,63609.83994704414,0.0
9711,0,0,0.0,23071,64585.209790623136,0.0
9712,0,0,0.0,23550,65563.26977185941,0.0
9713,0,0,0.0,24030,66543.88849428121,0.0
9714,0,0,0.0,24510,67526.97165251062,0.0
9715,0,0,0.0,24992,68512.48861105094,0.0
9716,0,0,0.0,25474,69500.35930192277,0.0
9717,0,0,0.0,25956,70490.50674943476,0.0
9718,0,0,0.0,26440,71475.5027636891,0.0
9719,0,0,0.0,26924,72457.77737975227,0.0
9720,0,0,0.0,27408,73442.2654462685,0.0
9721,0,0,0.0,27893,74428.90110698977,0.0
9722,0,0,0.0,28379,75417.62087426102,0.0
9723,0,0,0.0,28865,76408.36353263026,0.0
9724,0,0,0.0,29352,77401.07004665572,0.0
9725,0,0,0.0,29839,78395.68347271076,0.0
9726,0,0,0.0,30326,79390.43126049735,0.0
9727,0,0,0.0,30790,80379.0307618902,0.0
9728,0,0,0.0,31252,81369.63676330923,0.0
9729,0,0,0.0,31715,82362.19051588066,0.0
9730,0,0,0.0,32179,83356.63537610952,0.0
9731,0,0,0.0,32645,84352.91671999519,0.0
9732,0,0,0.0,33111,85350.98186079736,0.0
9733,0,0,0.0,33578,86350.77997031753,0.0
9734,0,0,0.0,34046,87352.26200356263,0.0
9735,0,0,0.0,34515,88334.51204879735,0.0
9736,0,0,0.0,34985,89317.51786988178,0.0
9737,0,0,0.0,35455,90302.41561066247,0.0
9738,0,0,0.0,35927,91289.15596022794,0.0
9739,0,0,0.0,36399,92277.69118483785,0.0
9740,0,0,0.0,36872,93267.97506951484,0.0
9741,0,0,0.0,37346,94259.96286200716,0.0
9742,0,0,0.0,37820,95253.61121902664,0.0
9743,0,0,0.0,38295,96248.87815466862,0.0
9744,0,0,0.0,38771,97245.72299092461,0.0
9745,0,0,0.0,39247,98244.10631019987,0.0
9746,0,0,0.0,39724,99243.98990975284,0.0
9747,0,0,0.0,40201,100245.33675797436,0.0
9748,0,0,0.0,40679,101248.11095242936,0.0
9749,0,0,0.0,41157,102252.27767958587,0.0
9750,0,0,0.0,41636,103257.80317615911,0.0
9751,0,0,0.0,7711,29473.969660548624,0.0
9752,0,0,0.0,7270,28582.84792503089,0.0
9753,0,0,0.0,6836,27702.897575953044,0.0
9754,0,0,0.0,6413,26835.337046961875,0.0
9755,0,0,0.0,6001,25981.610431875437,0.0
9756,0,0,0.0,5603,25143.44725565186,0.0
9757,0,0,0.0,5169,24322.770633626984,0.0
9758,0,0,0.0,4720,23522.14427104328,0.0
9759,0,0,0.0,4279,22744.892828753284,0.0
9760,0,0,0.0,3852,21994.775919607706,0.0
9761,0,0,0.0,3444,21276.766659194032,0.0
9762,0,0,0.0,3062,20545.911040315117,0.0
9763,0,0,0.0,2694,19848.660294684945,0.0
9764,0,0,0.0,2327,19204.132474354334,0.0
9765,0,0,0.0,1967,18622.926274041347,0.0
9766,0,0,0.0,1670,18116.257708821176,0.0
9767,0,0,0.0,1488,17694.570907997833,0.0
9768,0,0,0.0,1460,17365.830287320092,0.0
9769,0,0,0.0,1121,17134.17849015236,0.0
9770,0,0,0.0,938,16999.0788455423,0.0
9771,0,0,0.0,750,16939.74511339757,0.0
9772,0,22,0.0,441,16717.53601512358,0.0
9773,0,22,0.870159,300,16545.60108912978,0.0
9774,0,22,0.878653,135,16360.862244820606,0.0
9775,0,22,0.8557615,167,16268.849410355773,0.0
9776,0,23,0.8180724,154,16284.089597844584,0.0
9777,3,23,0.8268340000000001,241,16353.607139599988,0.0
9778,3,27,0.8268340000000001,708,16527.893586866878,0.0
9779,3,27,0.8268340000000001,1201,16794.904198811633,0.0
9780,4,27,0.9270105454545459,1077,17075.73280528605,0.0
9781,4,27,0.903803692307692,595,17151.04526186576,0.0
9782,6,27,0.853927913043478,112,17202.125004231715,0.0
9783,7,27,0.8366264999999999,356,17313.681727324773,0.0
9784,9,5,0.824306,838,17487.092118659486,0.0
9785,9,-1,0.750410142857143,1321,17644.673996933616,0.0
9786,0,-1,0.0,1569,17845.647734586808,0.0
9787,0,0,0.0,1839,17997.101558184273,0.0
9788,0,0,0.0,2191,18192.073645130396,0.0
9789,0,0,0.0,2593,18434.28329992156,0.0
9790,0,0,0.0,3023,18706.629402995153,0.0
9791,0,0,0.0,3473,19042.5194330454,0.0
9792,0,0,0.0,3935,19435.824450954384,0.0
9793,0,0,0.0,4405,19878.963983180794,0.0
